game_id,game_link,game_name,age_rating,platform_name
1,/game/switch/super-mario-3d-world-+-bowsers-fury                                                                                                                                                        ,Super Mario 3D World + Bowser's Fury                                                                                                                                                                    ,          ,Switch                                                                                              
2,/game/switch/super-smash-bros-ultimate-sephiroth                                                                                                                                                        ,Super Smash Bros. Ultimate: Sephiroth                                                                                                                                                                   ,          ,Switch                                                                                              
3,/game/switch/fitness-boxing-2-rhythm-exercise                                                                                                                                                           ,Fitness Boxing 2: Rhythm & Exercise                                                                                                                                                                     ,E         ,Switch                                                                                              
4,/game/switch/fire-emblem-shadow-dragon-the-blade-of-light                                                                                                                                               ,Fire Emblem: Shadow Dragon & the Blade of Light                                                                                                                                                         ,E         ,Switch                                                                                              
5,/game/switch/hyrule-warriors-age-of-calamity                                                                                                                                                            ,Hyrule Warriors: Age of Calamity                                                                                                                                                                        ,T         ,Switch                                                                                              
6,/game/switch/pokemon-sword-+-pokemon-sword-expansion-pass                                                                                                                                               ,Pokemon Sword + Pokemon Sword Expansion Pass                                                                                                                                                            ,E         ,Switch                                                                                              
7,/game/switch/pokemon-shield-+-pokemon-shield-expansion-pass                                                                                                                                             ,Pokemon Shield + Pokemon Shield Expansion Pass                                                                                                                                                          ,E         ,Switch                                                                                              
8,/game/switch/pikmin-3-deluxe                                                                                                                                                                            ,Pikmin 3 Deluxe                                                                                                                                                                                         ,E10+      ,Switch                                                                                              
9,/game/switch/part-time-ufo                                                                                                                                                                              ,Part Time UFO                                                                                                                                                                                           ,E10+      ,Switch                                                                                              
10,/game/switch/cadence-of-hyrule-crypt-of-the-necrodancer-featuring-the-legend-of-zelda---complete-edition                                                                                                ,Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda - Complete Edition                                                                                                            ,E         ,Switch                                                                                              
11,/game/switch/pokemon-sword-shield-the-crown-tundra                                                                                                                                                      ,Pokemon Sword / Shield: The Crown Tundra                                                                                                                                                                ,          ,Switch                                                                                              
12,/game/switch/mario-kart-live-home-circuit                                                                                                                                                               ,Mario Kart Live: Home Circuit                                                                                                                                                                           ,E         ,Switch                                                                                              
13,/game/switch/super-smash-bros-ultimate-steve-alex                                                                                                                                                       ,Super Smash Bros. Ultimate: Steve & Alex                                                                                                                                                                ,E10+      ,Switch                                                                                              
14,/game/switch/mario-kart-8-deluxe-+-super-mario-party                                                                                                                                                    ,Mario Kart 8 Deluxe + Super Mario Party                                                                                                                                                                 ,E         ,Switch                                                                                              
15,/game/switch/super-mario-bros-35                                                                                                                                                                        ,Super Mario Bros. 35                                                                                                                                                                                    ,          ,Switch                                                                                              
16,/game/switch/cadence-of-hyrule-crypt-of-the-necrodancer-featuring-the-legend-of-zelda---dlc-3-story-pack-symphony-of-the-mask                                                                           ,Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda - DLC 3 Story Pack: Symphony of the Mask                                                                                      ,E         ,Switch                                                                                              
17,/game/switch/kirby-fighters-2                                                                                                                                                                           ,Kirby Fighters 2                                                                                                                                                                                        ,          ,Switch                                                                                              
18,/game/switch/super-mario-3d-all-stars                                                                                                                                                                   ,Super Mario 3D All-Stars                                                                                                                                                                                ,E         ,Switch                                                                                              
19,/game/switch/cadence-of-hyrule-crypt-of-the-necrodancer-featuring-the-legend-of-zelda---dlc-2-melody-pack                                                                                               ,Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda - DLC 2 Melody Pack                                                                                                           ,E         ,Switch                                                                                              
20,/game/switch/cadence-of-hyrule-crypt-of-the-necrodancer-featuring-the-legend-of-zelda---dlc-1-character-pack                                                                                            ,Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda - DLC 1 Character Pack                                                                                                        ,E         ,Switch                                                                                              
21,/game/switch/paper-mario-the-origami-king                                                                                                                                                               ,Paper Mario: The Origami King                                                                                                                                                                           ,E         ,Switch                                                                                              
22,/game/switch/super-smash-bros-ultimate-min-min                                                                                                                                                          ,Super Smash Bros. Ultimate: Min Min                                                                                                                                                                     ,          ,Switch                                                                                              
23,/game/switch/pokemon-cafe-mix                                                                                                                                                                           ,Pokemon Cafe Mix                                                                                                                                                                                        ,E         ,Switch                                                                                              
24,/game/switch/pokemon-sword-shield-the-isle-of-armor                                                                                                                                                     ,Pokemon Sword / Shield: The Isle of Armor                                                                                                                                                               ,E         ,Switch                                                                                              
25,/game/switch/jump-rope-challenge                                                                                                                                                                        ,Jump Rope Challenge                                                                                                                                                                                     ,          ,Switch                                                                                              
26,/game/switch/clubhouse-games-51-worldwide-classics                                                                                                                                                      ,Clubhouse Games: 51 Worldwide Classics                                                                                                                                                                  ,E         ,Switch                                                                                              
27,/game/switch/xenoblade-chronicles-definitive-edition                                                                                                                                                    ,Xenoblade Chronicles: Definitive Edition                                                                                                                                                                ,T         ,Switch                                                                                              
28,/game/switch/arcade-archives-vs-wrecking-crew                                                                                                                                                           ,Arcade Archives: Vs. Wrecking Crew                                                                                                                                                                      ,E         ,Switch                                                                                              
29,/game/switch/marvel-ultimate-alliance-3-the-black-order---expansion-3---fantastic-four-shadow-of-doom                                                                                                   ,Marvel Ultimate Alliance 3: The Black Order - Expansion 3 - Fantastic Four: Shadow of Doom                                                                                                              ,T         ,Switch                                                                                              
30,/game/switch/good-job!                                                                                                                                                                                  ,Good Job!                                                                                                                                                                                               ,E         ,Switch                                                                                              
31,/game/switch/animal-crossing-new-horizons                                                                                                                                                               ,Animal Crossing: New Horizons                                                                                                                                                                           ,E         ,Switch                                                                                              
32,/game/switch/pokemon-mystery-dungeon-rescue-team-dx                                                                                                                                                     ,Pokemon Mystery Dungeon: Rescue Team DX                                                                                                                                                                 ,E         ,Switch                                                                                              
33,/game/switch/luigis-mansion-3-multiplayer-pack-1-2                                                                                                                                                      ,Luigi's Mansion 3: Multiplayer Pack 1 & 2                                                                                                                                                               ,          ,Switch                                                                                              
34,/game/switch/fire-emblem-three-houses---side-story-cindered-shadows                                                                                                                                     ,Fire Emblem: Three Houses - Side Story: Cindered Shadows                                                                                                                                                ,T         ,Switch                                                                                              
35,/game/ios/pokemon-home                                                                                                                                                                                  ,Pokemon HOME                                                                                                                                                                                            ,          ,iOS                                                                                                 
36,/game/switch/pokemon-home                                                                                                                                                                               ,Pokemon HOME                                                                                                                                                                                            ,E         ,Switch                                                                                              
37,/game/switch/super-smash-bros-ultimate-byleth                                                                                                                                                           ,Super Smash Bros. Ultimate: Byleth                                                                                                                                                                      ,E10+      ,Switch                                                                                              
38,/game/switch/tokyo-mirage-sessions-fe-encore                                                                                                                                                            ,Tokyo Mirage Sessions #FE Encore                                                                                                                                                                        ,T         ,Switch                                                                                              
39,/game/switch/dr-kawashimas-brain-training-for-nintendo-switch                                                                                                                                           ,Dr. Kawashima's Brain Training for Nintendo Switch                                                                                                                                                      ,          ,Switch                                                                                              
40,/game/switch/arcade-archives-vs-balloon-fight                                                                                                                                                           ,Arcade Archives: Vs. Balloon Fight                                                                                                                                                                      ,E         ,Switch                                                                                              
41,/game/switch/marvel-ultimate-alliance-3-the-black-order---expansion-2-rise-of-the-phoenix                                                                                                               ,Marvel Ultimate Alliance 3: The Black Order - Expansion 2: Rise of the Phoenix                                                                                                                          ,T         ,Switch                                                                                              
42,/game/switch/pokemon-shield                                                                                                                                                                             ,Pokemon Shield                                                                                                                                                                                          ,E         ,Switch                                                                                              
43,/game/switch/pokemon-sword                                                                                                                                                                              ,Pokemon Sword                                                                                                                                                                                           ,E         ,Switch                                                                                              
44,/game/switch/pokemon-sword-shield-dual-pack                                                                                                                                                             ,Pokemon Sword / Shield Dual Pack                                                                                                                                                                        ,E         ,Switch                                                                                              
